name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
【超大双卧套房】市中心的静谧花园，花园泳池，健身房，近摩天轮夜市/暹罗四面佛商圈，接地气体验曼谷生活,Dylan,Sathon,13.71212,100.5201,Entire home/apt,5472,1,0,,0.0,14,0,0,Week 1
"Studio room near BTS Onnut, price include electric",Piyapa,Suanluang,13.711642,100.606834,Entire home/apt,710,1,8,2022-12-17,0.23,3,327,7,Week 1
"Thitaree Resident
(ฐิตารีย์ เรสซิเดนซ์)",Thitaree,Don Mueang,13.91332183949998,100.58970629218544,Private room,576,1,3,2022-12-18,2.25,3,363,3,Week 1
"SLEEP TO FLY HOTEL & HOSTEL, 5 Bed Mixed Dormitory",Somsak,Lat Krabang,13.75506,100.75071,Shared room,360,1,1,2022-12-10,1.0,4,168,1,Week 1
1Bed1 Bath @Thonglor FREEAirport pickup,Praveen,Vadhana,13.73284,100.57875,Entire home/apt,1379,5,27,2022-11-08,0.77,1,166,18,Week 1
Pinklao/ Local area/Foody is around,Jirunya,Bang Phlat,13.77516,100.48659,Entire home/apt,1680,2,0,,0.0,1,180,0,Week 1
靠近地铁口,A Hui 辉泰郎 ปริพล,Huai Khwang,13.78059,100.5753,Entire home/apt,1139,5,1,2020-02-21,0.03,1,147,0,Week 1
Pratunam 19 Hotel 2,Pratunam 19,Ratchathewi,13.75273,100.53989,Private room,725,1,1,2020-03-04,0.03,2,302,0,Week 1
#514251 One Bedroom Panorama Thonglor Area,Steven,Vadhana,13.73887,100.58514,Private room,3226,1,0,,0.0,2,180,0,Week 1
バンナー　ロングステイ　体験,Hiroyuki,Bang Na,13.6705,100.60589,Entire home/apt,1039,25,0,,0.0,1,364,0,Week 4
Thitaree Residence,Thitaree,Don Mueang,13.9133591,100.5896263,Entire home/apt,561,1,0,,0.0,3,363,0,Week 1
"1 minute BTS Station. ญก Walk to Siam,MBK,Big C",Dusit,Ratchathewi,13.75191,100.53233,Private room,1464,1,2,2022-01-30,0.06,2,178,1,Week 1
T23 ☆ PRATUNAM ☆ 3BD Duplex | Living | Dining,Theme,Ratchathewi,13.75424,100.53709,Private room,5732,1,18,2022-09-11,0.51,12,317,7,Week 1
"Family stay, 15 minutes to airport",Suwatchai,Pra Wet,13.72158,100.67839,Entire home/apt,1558,15,0,,0.0,5,365,0,Week 3
Ideo mobi sukhumvit,Narunya,Bang Na,13.66601,100.6041,Private room,1500,3,0,,0.0,1,87,0,Week 1
Private 11 Bedrooms lux Villa near Thonglor BTS,Matta,Khlong Toei,13.72306,100.57404,Entire home/apt,31000,1,15,2022-12-15,1.15,7,299,14,Week 1
Апартаменты,Serg,Parthum Wan,13.73389,100.52679,Entire home/apt,2500,1,0,,0.0,1,365,0,Week 1
Marlowe-Tony’s home at Chinatown ( Marlowe Space),Ploynapus,Samphanthawong,13.74014,100.50955,Private room,2500,1,1,2020-07-26,0.03,2,158,0,Week 1
Brassa room 3019,Thanathorn,Wang Thong Lang,13.76478,100.6216,Private room,589,1,0,,0.0,3,179,0,Week 1
305★Nara Suite Residence Bangkok★会说中文,Amb Ville,Yan na wa,13.69946,100.53314,Entire home/apt,1390,1,14,2022-12-17,0.41,25,346,5,Week 1
405★Nara Suite Residence Bangkok★会说中文,Amb Ville,Yan na wa,13.69923,100.53484,Entire home/apt,1497,1,26,2022-12-19,0.76,25,353,5,Week 1
Thonglor station/Cozy Room,Atchara,Khlong Toei,13.72412,100.57817,Entire home/apt,3400,1,0,,0.0,1,181,0,Week 1
#514252 standard studio,Steven,Vadhana,13.74022,100.5834,Private room,2922,1,0,,0.0,2,179,0,Week 1
The Glamorous Pink Room❤BTSPhromPhong❤WIFI❤Netflix,Son,Khlong Toei,13.72636,100.56532,Entire home/apt,1890,3,0,,0.0,1,87,0,Week 1
"B5. LUXURY CONDO Q CHIDLOM,   WITH BATH",David,Parthum Wan,13.74839,100.54358,Entire home/apt,1400,28,0,,0.0,26,179,0,Week 4
NEW! 2BR SuperB SPARKLING LUXURY - BTS Chong Nonsi,Rajasit,Bang Rak,13.72557,100.52951,Entire home/apt,3390,2,0,,0.0,8,359,0,Week 1
"B3. LUXURY CONDO Q CHIDLOM , WITH BATH",David,Parthum Wan,13.74833,100.54357,Entire home/apt,1400,28,8,2022-10-01,0.24,26,162,6,Week 4
A2. LUXURY CONDO Q CHIDLOM PHETCHABURI,David,Ratchathewi,13.74957,100.54275,Entire home/apt,1300,28,4,2022-11-20,0.12,26,170,3,Week 4
1br@Park24/BTS500m/TM30/SkytopPool/Gym/Netflix#530,Sunnot,Khlong Toei,13.72466,100.56727,Entire home/apt,1727,1,4,2022-12-08,0.12,19,63,2,Week 1
Smile-Chapterone,วรรณกร,Huai Khwang,13.77157,100.58079,Private room,1200,7,0,,0.0,1,0,0,Week 1
Big Space 2 Bedroom in the Old town BKK (Max.5pp),Chaninthorn,Pom Prap Sattru Phai,13.7519,100.51283,Entire home/apt,2100,2,0,,0.0,3,62,0,Week 1
Marlowe-Tony’s home at Chinatown (Tony Space),Ploynapus,Samphanthawong,13.74014,100.50941,Private room,2500,1,1,2022-08-19,0.23,2,165,1,Week 1
市中心花园一居室，免费泳池、健身房，近摩天轮夜市、大皇宫、郑王庙，天铁直达暹罗、四面佛商圈,Dylan,Sathon,13.71215,100.51995,Entire home/apt,3084,1,0,,0.0,14,0,0,Week 1
A designer’s townhouse in Sathorn,Parissara,Sathon,13.71167,100.52404,Private room,1200,1,0,,0.0,1,179,0,Week 1
曼谷市中心 我住在公園裡 BTS Phrom Phong SkyPool Gym Wifi 1BR,Steven,Khlong Toei,13.72474,100.5644,Entire home/apt,1120,1,9,2022-12-08,0.67,12,2,8,Week 1
NEAR AIRPORT SKYTRAIN/Dcondo/Free Wi-fi/24hrs food,Chanuti,Bang Kapi,13.74992,100.60699,Entire home/apt,950,1,5,2022-10-30,0.14,1,0,1,Week 1
One Bedroom Deluxe - Room Only,The Duchess,Parthum Wan,13.73763,100.54202,Private room,7251,1,0,,0.0,2,364,0,Week 1
Studio Room - Room Only,The Duchess,Parthum Wan,13.73787,100.54208,Private room,3720,1,0,,0.0,2,363,0,Week 1
Bed in 4-Bed Female Dorm,Nick,Vadhana,13.72992,100.57985,Shared room,574,1,0,,0.0,9,181,0,Week 1
SSIP HOME-15minWalk to Khaosan-FreeBreakfast-Twins,Sirikamol,Phra Nakhon,13.76887,100.50422,Private room,4889,1,0,,0.0,3,365,0,Week 1
City One person Private Bedroom & Private Bathroom,Pagon,Yan na wa,13.69519,100.53136,Private room,880,1,1,2022-05-18,0.13,8,360,1,Week 1
Luxury 4 Suites (Zenithar Penthouse) 80%OFF,Headquarter,Vadhana,13.71406,100.5993,Entire home/apt,32123,2,9,2022-12-01,0.26,2,365,5,Week 1
30 mins to Suwannabhumi Airport,Pisan,Bang Kapi,13.7473,100.60712,Entire home/apt,1700,2,1,2020-02-18,0.03,1,270,0,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.71021,100.5192,Entire home/apt,1144,1,3,2021-02-14,0.09,228,356,0,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.71047,100.5191,Entire home/apt,1144,1,34,2022-12-03,0.98,228,356,21,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.71176,100.51893,Entire home/apt,1144,1,30,2022-12-06,0.88,228,362,17,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /Wifi,Curry,Sathon,13.71229,100.51974,Entire home/apt,1216,1,15,2022-09-11,0.44,228,362,10,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.71027,100.51957,Entire home/apt,1287,1,24,2022-12-20,0.7,228,357,14,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.7109,100.521,Entire home/apt,1173,1,11,2022-12-15,0.32,228,356,9,Week 1
1Bedroom@40sqm/500m@BTS/SkyPool/Netflix/FreeCoffee,Sunnot,Khlong Toei,13.725400924682615,100.5661849975586,Entire home/apt,2612,1,10,2022-11-15,0.29,19,72,9,Week 1
"Cozy Studio at Sukhumvit 22, near Marriot Marquis",Littlehome,Bangkok Yai,13.72374,100.47722,Private room,1800,2,0,,0.0,6,365,0,Week 1
Modern 1BR+1LivingR ~few mins walk to BTS skytrain,Pé,Khlong San,13.72089,100.49373,Entire home/apt,990,1,10,2022-12-27,0.29,2,261,9,Week 1
cozy 1br/500m@BTS E5/Skytop pool/Gym/Youtube/TM30,Sunnot,Khlong Toei,13.725400924682615,100.5661849975586,Entire home/apt,1558,21,2,2021-12-20,0.08,19,9,0,Week 3
S.Bangkok Vacation BTS Bang Chak 1BR Wifi,Steven,Phra Khanong,13.69237,100.59803,Entire home/apt,950,1,5,2022-11-19,0.15,12,164,3,Week 1
S.這是你在曼谷的家 BTS Bang Chak 1房 有個大泳池 Wifi,Steven,Phra Khanong,13.69052,100.60163,Entire home/apt,950,1,1,2020-03-04,0.03,12,170,0,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Curry,Sathon,13.71226,100.52109,Entire home/apt,1287,1,36,2022-12-01,1.06,228,359,16,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /Wifi,Curry,Sathon,13.71021,100.51923,Entire home/apt,1173,1,13,2022-12-16,0.38,228,357,10,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /wifi,Noons,Sathon,13.71096,100.51904,Entire home/apt,1380,1,20,2022-12-01,0.59,99,356,10,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /wifi,Noons,Sathon,13.71014,100.52036,Entire home/apt,1287,1,30,2022-12-25,0.89,99,351,17,Week 1
Secluded Bungalow in Park Setting close to Ari BTS,Simon,Phaya Thai,13.78965,100.54259,Entire home/apt,797,21,0,,0.0,1,363,0,Week 3
"SLEEP TO FLY HOTEL & HOSTEL, 5 Bed Mixed Dormitory",Somsak,Lat Krabang,13.75552,100.75176,Shared room,360,1,0,,0.0,4,168,0,Week 1
1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /wifi,Noons,Sathon,13.71173,100.5208,Entire home/apt,1557,1,34,2022-12-09,1.0,99,351,24,Week 1
Santo House,Santo,Phra Nakhon,13.75242,100.49636,Private room,600,1,6,2022-11-30,0.17,2,175,5,Week 1
Bed in 4-Bed Mixed Dorm,Nick,Vadhana,13.72995,100.58169,Shared room,574,1,0,,0.0,9,181,0,Week 1
Bed in 6-Bed Mixed Dorm,Nick,Vadhana,13.72936,100.58139,Shared room,405,1,0,,0.0,9,181,0,Week 1
Loft!  1BR 2ppl/SurasakBTS Sathorn/ WIif/ Pool,Curry,Sathon,13.71213,100.52119,Entire home/apt,1608,1,13,2022-11-23,0.47,228,356,10,Week 1
Top Luxury Penthouse (Zenithar Penthouse) 80%OFF,Zenithar,Vadhana,13.71406,100.5993,Entire home/apt,20299,1,3,2022-04-10,0.09,1,180,1,Week 1
"SLEEP TO FLY HOTEL & HOSTEL, Private 4 Person Dorm",Somsak,Lat Krabang,13.75675,100.75059,Private room,1129,1,1,2022-11-05,0.56,4,167,1,Week 1
"SLEEP TO FLY HOTEL & HOSTEL, Private 3 Person Dorm",Somsak,Lat Krabang,13.7564,100.75229,Private room,846,1,0,,0.0,4,168,0,Week 1
Bangkok BTS OnNut #New Condo #20% off monthly rent,Lily,Khlong Toei,13.70506,100.59323,Entire home/apt,600,28,2,2021-06-09,0.06,11,0,0,Week 4
Liv@5,Edres,Vadhana,13.74396,100.55558,Entire home/apt,1025,5,21,2022-11-30,0.61,1,284,12,Week 1
"Modern Homely Condo- w/ Perfect View, Pool, & Gym",Sahiba,Thon buri,13.71056,100.48017,Entire home/apt,1156,1,8,2022-11-28,0.66,1,324,8,Week 1
858/2 Notting hill Condominium Phaholyothin Soi 18,Pornpen,Chatu Chak,13.79619,100.55243,Entire home/apt,1500,30,0,,0.0,2,365,0,Week 4
Silom Surawong Condominium,Puttipat (Peter),Bang Rak,13.72797,100.52925,Private room,900,1,0,,0.0,2,364,0,Week 1
1 BR 40 sqm Sathorn area Wifi -Pool-Pet friendly,Palakorn,Yan na wa,13.7012,100.53881,Entire home/apt,799,1,0,,0.0,3,1,0,Week 1
5 mins to MRT / Queen bed for long term stay,RoomQuest,Din Daeng,13.775882,100.571198,Private room,900,1,10,2021-08-29,0.29,12,330,0,Week 1
视野极佳四面佛Nana酒吧街豪华双卧2Bedroom,Jane,Ratchathewi,13.75092,100.5545,Entire home/apt,2680,2,1,2021-01-04,0.04,5,54,0,Week 1
廊曼机场 ✈ IMPACT会展中心/ WIFI 双人房,Rq,Don Mueang,13.92803,100.58515,Private room,770,1,1,2020-03-17,0.03,3,365,0,Week 1
Deluxe connecting family convenient,Narongrith,Huai Khwang,13.78812,100.58456,Private room,2600,1,0,,0.0,1,365,0,Week 1
"1 BR 40sqm Apt Sathorn area,WiFi,Pool,Pet Friendly",Kung,Yan na wa,13.70287,100.53762,Entire home/apt,1599,1,0,,0.0,1,177,0,Week 1
Kratib House @ MRT Queen Sirikit 400m,G Living,Khlong Toei,13.72391,100.56309,Entire home/apt,5082,2,9,2022-10-24,0.26,32,365,5,Week 1
Cozy stay heart of Bangkok,Jo,Parthum Wan,13.74074,100.54653,Entire home/apt,1500,30,0,,0.0,1,180,0,Week 4
近天铁通罗站一居室公寓/Luxury Condo Near BTS Thong Lor,Lily,Khlong Toei,13.71676,100.57594,Entire home/apt,600,28,6,2022-12-24,0.59,3,39,6,Week 4
2mins-BTS★Large 1BR w/Netflix Near River&ICON SIAM,Windy,Thon buri,13.72055,100.49288,Entire home/apt,1339,30,14,2022-11-30,0.41,37,112,8,Week 4
7 bedrooms  with shared kitchen near Thonglor BTS,Matta,Khlong Toei,13.72014,100.57334,Private room,28000,2,1,2020-03-08,0.03,7,319,0,Week 1
"New Condo, near supermarket & Airport Link Huamak",Alin,Suanluang,13.73398,100.64058,Entire home/apt,680,5,7,2022-11-28,0.2,2,52,4,Week 1
NearBTS_FastWifi@Checkin24h-Pool-Suana-Gym,Max,Khlong Toei,13.71858,100.57616,Entire home/apt,1343,25,4,2020-03-27,0.12,8,143,0,Week 4
Emerald.Pool@NearBTS-Checkin24h-WiFi-Sauna-Gym,Min,Khlong Toei,13.71868,100.57713,Entire home/apt,1100,15,0,,0.0,1,171,0,Week 3
Pinnacle Dream Hotel Sukhumvit - Modern Room,Pinnacle Hotels,Vadhana,13.73645,100.56558,Private room,900,1,1,2022-11-27,0.94,1,361,1,Week 1
"Resort ambience near CBD, Good for cooking lover.",Krerk,Phasi Charoen,13.71216,100.44877,Entire home/apt,486,29,8,2022-12-02,0.24,1,41,4,Week 4
New!  2BR 4ppl/SurasakBTS Sathorn/ Wifi/ Pool,Curry,Sathon,13.71234,100.52113,Entire home/apt,2100,1,36,2022-11-27,1.19,228,346,33,Week 1
monthly house stay,Sakdipoj,Bang Khen,13.85509,100.62185,Entire home/apt,1500,1,0,,0.0,1,173,0,Week 1
Hap@Sathorn Loft Hotel,Piphat,Sathon,13.72039,100.54822,Private room,1286,1,1,2020-03-08,0.03,26,364,0,Week 1
Luxury room wifi hi speed,Korrakot,Bang Khae,13.70588,100.42381,Private room,1500,3,0,,0.0,1,180,0,Week 1
曼谷辉煌火车夜市附近公寓优惠招租。,Man Ping,Huai Khwang,13.77349,100.57887,Entire home/apt,588,2,0,,0.0,2,0,0,Week 1
1BR-  55 sqm - Wireless RD -  BTS Phloenchit,Siwaporn,Parthum Wan,13.74363,100.54542,Entire home/apt,7828,1,14,2022-11-08,0.4,2,176,7,Week 1
Hap@sathorn MRT LUMPINI,Piphat,Sathon,13.72021,100.5482,Private room,1286,1,1,2020-03-06,0.03,26,364,0,Week 1
Enjoy Bangkok Nightlife/BTS Thong Lo/Luxurious,Parit,Khlong Toei,13.72167,100.57428,Private room,1500,1,0,,0.0,5,365,0,Week 1
cozy 1br/500m@BTS E5/Skytop pool/Gym/Youtube#538,Sunnot,Khlong Toei,13.725400924682615,100.5661849975586,Entire home/apt,1727,1,14,2022-12-19,0.41,19,79,11,Week 1
Wellinton/ Large room,Wanpen,Huai Khwang,13.76795,100.57935,Entire home/apt,3200,30,0,,0.0,1,91,0,Week 4
"Pool Villa @ Donmuang 5 Bedrooms, 3 king&2Queen",Amy,Don Mueang,13.95074,100.61541,Private room,9953,1,14,2022-11-30,0.89,5,85,10,Week 1
The Base Sukhumvit 77,Urairat,Suanluang,13.7119,100.60348,Private room,1900,15,0,,0.0,1,327,0,Week 3
Teak House/Jacuzzi pool/5min MRT/Local Antique/,Napa,Bang Rak,13.73485,100.51916,Entire home/apt,2499,2,54,2022-12-02,1.54,3,56,24,Week 1
Penthouse 2 Suites(Zenithar Penthouse) 80%OFF!,Headquarter,Vadhana,13.71406,100.5993,Private room,20893,1,3,2020-02-11,0.09,2,180,0,Week 1
บ้างสว่างศรี,สอนวาดภาพเหมือนตามบ้าน,Nong Khaem,13.69974,100.37493,Private room,1167,1,0,,0.0,1,180,0,Week 1
SSIP HOME-15min WalkTo Khaosan-FreeBreakfast-Queen,Sirikamol,Dusit,13.77118,100.50423,Private room,4889,1,0,,0.0,3,365,0,Week 1
Villa Sookkasem,Yuvadee,Bangkok Yai,13.72795,100.47798,Private room,2597,1,0,,0.0,1,88,0,Week 1
MODERN STUDIO /Netflix /POOL /RAMA9,Eva,Huai Khwang,13.75567,100.57587,Entire home/apt,1200,2,31,2022-12-09,0.89,44,69,21,Week 1
素坤逸50巷 酒店式公寓bts onnut【开间双床房】,Hua,Khlong Toei,13.70476,100.5993,Entire home/apt,743,2,7,2022-11-27,0.2,20,109,4,Week 1
"Private room, 2-minute walk to Na Na Station,BTS",Karn,Vadhana,13.74346,100.55879,Entire home/apt,1543,30,3,2022-12-04,0.09,1,98,1,Week 4
Cozy Living 6 Beds Townhouse @ BTS ONNUT,Anupong,Khlong Toei,13.70716,100.59569,Entire home/apt,4571,2,5,2022-11-26,0.14,5,107,1,Week 1
S1/Stylish Big Unit:2bedrooms/Near Silom-Sukhumwit,Jun,Yan na wa,13.71368,100.55282,Entire home/apt,1618,2,28,2022-12-11,0.81,3,327,21,Week 1
Moss Place,มาลินี,Chatu Chak,13.83618,100.57753,Private room,3550,1,1,2020-02-26,0.03,1,179,0,Week 1
MINIMAL Studio Room Best Location @ Ari BTS,Promporn,Phaya Thai,13.78193,100.54365,Entire home/apt,1490,3,3,2021-03-06,0.09,1,0,0,Week 1
New condominium/Be33,Rattasats,Vadhana,13.73509,100.5669,Entire home/apt,3500,10,1,2020-02-25,0.03,1,88,0,Week 2
820house - Entire Floor/Close to MRT/Supermarket,Banc,Bang Sue,13.80522,100.53593,Entire home/apt,1771,1,12,2022-12-11,0.57,1,349,11,Week 1
"Ascott Sathorn Bangkok, 2 Bedroom Deluxe Apt",Soros,Sathon,13.71586,100.52019,Private room,14326,1,0,,0.0,6,360,0,Week 1
"Ascott Sathorn Bangkok, 2 Bedroom Executive Apt",Soros,Sathon,13.71723,100.51813,Private room,16478,1,0,,0.0,6,361,0,Week 1
"Ascott Sathorn Bangkok, 3 Bedroom Executive Apt",Soros,Sathon,13.71765,100.51969,Private room,21119,1,0,,0.0,6,318,0,Week 1
"Somerset Park Suanplu, 1 Bedroom Deluxe Apt.",Rohan,Sathon,13.72165,100.53774,Private room,5851,1,0,,0.0,21,362,0,Week 1
Spacious Entire Place in DT - 1 min to BTS Asoke,Manaswin,Khlong Toei,13.73203,100.56194,Entire home/apt,5143,10,12,2022-11-25,0.34,2,28,7,Week 2
AMAZING! - LUXURY @ SILOM - 1 min bts Chong Nonsi,Rajasit,Bang Rak,13.72521,100.52865,Entire home/apt,3390,2,0,,0.0,8,359,0,Week 1
"Somerset Park Suanplu, 1 Bedroom Premier Apt",Rohan,Sathon,13.72255,100.53885,Entire home/apt,6154,1,0,,0.0,21,362,0,Week 1
"Somerset Park Suanplu, 2 Bedroom Deluxe Apt",Rohan,Sathon,13.72268,100.53662,Entire home/apt,10156,1,0,,0.0,21,356,0,Week 1
"Somerset Park Suanplu, 2 Bedroom Executive Apt",Rohan,Sathon,13.72263,100.53697,Entire home/apt,10559,1,0,,0.0,21,360,0,Week 1
"Somerset Park Suanplu, 3 Bedroom Premier Apt",Rohan,Sathon,13.72276,100.53884,Entire home/apt,15234,1,0,,0.0,21,355,0,Week 1
"Somerset Sukhumvit Thonglor, Studio Deluxe",Rohan,Vadhana,13.73022,100.58094,Entire home/apt,5314,1,0,,0.0,21,363,0,Week 1
"Somerset Sukhumvit Thonglor, Studio Executive",Rohan,Vadhana,13.73003,100.58088,Entire home/apt,5431,1,0,,0.0,21,364,0,Week 1
"Somerset Sukhumvit Thonglor, Studio Premier",Rohan,Vadhana,13.73007,100.58113,Entire home/apt,7432,1,0,,0.0,21,362,0,Week 1
"Somerset Sukhumvit Thonglor, 1 Bedroom Executive",Rohan,Vadhana,13.72828,100.58068,Entire home/apt,7499,1,0,,0.0,21,362,0,Week 1
"Somerset Sukhumvit Thonglor, 1 Bedroom Premier Apt",Rohan,Vadhana,13.7282,100.58074,Entire home/apt,8306,1,0,,0.0,21,338,0,Week 1
"Somerset Sukhumvit Thonglor, 2 Bedroom Executive",Rohan,Vadhana,13.72825,100.57925,Entire home/apt,10761,1,0,,0.0,21,319,0,Week 1
"Citadines Sukhumvit 8, Studio Executive",Noppawan,Khlong Toei,13.73671,100.55647,Entire home/apt,3067,1,10,2022-12-13,1.96,3,363,10,Week 1
"Citadines Sukhumvit 8, One Bedroom Deluxe Apt",Noppawan,Khlong Toei,13.73675,100.55521,Entire home/apt,4123,1,1,2022-11-11,0.63,3,361,1,Week 1
"Citadines Sukhumvit 8, Two Bedroom Deluxe Apt",Noppawan,Khlong Toei,13.7349,100.55538,Entire home/apt,5475,1,0,,0.0,3,359,0,Week 1
2Bed in sukhumvit 71,Wirayut,Suanluang,13.74192,100.59966,Entire home/apt,3800,7,0,,0.0,1,180,0,Week 1
"Citadines Sukhumvit 16, Studio Executive",Noppawan,Khlong Toei,13.73446,100.55975,Entire home/apt,3194,1,1,2022-11-27,0.94,2,362,1,Week 1
"Citadines Sukhumvit 16, One Bedroom Deluxe Apt",Noppawan,Khlong Toei,13.7347,100.56041,Entire home/apt,4288,1,0,,0.0,2,361,0,Week 1
NEW! 2BR SuperB SPARKLING LUXURY - BTS Chong Nonsi,Rajasit,Bang Rak,13.72499,100.53022,Entire home/apt,3390,2,1,2022-08-06,0.21,8,359,1,Week 1
"Somerset Ekamai Bangkok, Studio Room",Rohan,Vadhana,13.72191,100.58689,Entire home/apt,3253,1,0,,0.0,21,360,0,Week 1
"Somerset Ekamai Bangkok, Studio Deluxe",Rohan,Vadhana,13.72412,100.58704,Entire home/apt,3573,1,0,,0.0,21,361,0,Week 1
素坤逸50巷bts onnut酒店式公寓【开间双床房】,Hua,Khlong Toei,13.70602,100.59946,Entire home/apt,743,2,5,2022-06-11,0.14,20,112,2,Week 1
"Somerset Ekamai Bangkok, Studio Executive King",Rohan,Vadhana,13.72277,100.58548,Entire home/apt,4986,1,0,,0.0,21,362,0,Week 1
"Somerset Ekamai Bangkok, Studio Executive Twin",Rohan,Vadhana,13.722,100.58739,Entire home/apt,4986,1,0,,0.0,21,360,0,Week 1
The Parkland condo Bangna,กิตติภพ,Bang Na,13.66791,100.64937,Entire home/apt,2000,1,1,2020-03-09,0.03,1,365,0,Week 1
"Somerset Ekamai Bangkok, One Bedroom Apartment",Rohan,Vadhana,13.7226,100.58548,Entire home/apt,5389,1,0,,0.0,21,361,0,Week 1
"Somerset Ekamai Bangkok, One Bedroom Executive Apt",Rohan,Vadhana,13.72382,100.58539,Entire home/apt,5977,1,0,,0.0,21,361,0,Week 1
"Somerset Ekamai Bangkok, One Bedroom Premier Apt",Rohan,Vadhana,13.72386,100.58567,Entire home/apt,5977,1,0,,0.0,21,362,0,Week 1
"Somerset Ekamai Bangkok, Two Bedroom Executive Apt",Rohan,Vadhana,13.72352,100.58728,Entire home/apt,11602,1,0,,0.0,21,352,0,Week 1
"Somerset Ekamai Bangkok, Two Bedroom Premier Apt",Rohan,Vadhana,13.72354,100.58753,Entire home/apt,11602,1,0,,0.0,21,361,0,Week 1
"Somerset Ekamai Bangkok, Three Bedroom Deluxe Apt",Rohan,Vadhana,13.72218,100.5867,Entire home/apt,19841,1,0,,0.0,21,241,0,Week 1
Near The Grand Palace/ASOK Station/Sukhumvit,Noons,Khlong Toei,13.7356,100.55695,Entire home/apt,2057,1,4,2022-04-28,0.12,99,361,2,Week 1
A condominium with king bed/Balcony/near Chatuchak,Panspond,Phaya Thai,13.7919,100.56002,Entire home/apt,500,7,1,2020-03-14,0.03,1,334,0,Week 1
2BR！New! Near The Grand Palace/ASOK Station/4PPL,Curry,Khlong Toei,13.73612,100.55689,Entire home/apt,4586,1,12,2022-11-30,0.96,228,358,11,Week 1
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.77288,100.58184,Entire home/apt,1057,1,1,2020-05-15,0.03,228,0,0,Week 1
Cozy Night #2 (4ppl) 10 min. to Donmuang Airport,Chutiroj,Don Mueang,13.90164,100.58805,Private room,800,1,1,2020-03-08,0.03,2,356,0,Week 1
"Lumpini Rama 4, Kluaynamthai",Tiara,Khlong Toei,13.71323,100.58202,Private room,5000,2,0,,0.0,1,365,0,Week 1
New!  La Chada Night Market studio 2PPL near MRT,Noons,Huai Khwang,13.77329,100.58054,Entire home/apt,1057,1,2,2020-05-20,0.06,99,0,0,Week 1
Sarnn Sukhumvit 28 Triple Room near Bts Phomphong,Exostay,Khlong Toei,13.72758,100.57316,Entire home/apt,1080,1,0,,0.0,13,331,0,Week 1
New!  La Chada Night Market studio 2PPL near MRT,Noons,Huai Khwang,13.77287,100.58212,Entire home/apt,1057,1,0,,0.0,99,0,0,Week 1
"Nice Lumpini condo Ramkhamhaeng 60, Free WiFi",Nott,Bang Kapi,13.76274,100.64961,Entire home/apt,650,7,0,,0.0,2,146,0,Week 1
New!  La Chada Night Market 1BR 2PPL near MRT,Nana,Huai Khwang,13.77316,100.58065,Entire home/apt,1057,1,2,2020-03-29,0.06,49,0,0,Week 1
New!  La Chada Night Market studio 2PPL near MRT,Nana,Huai Khwang,13.77325,100.57861,Entire home/apt,1057,1,2,2020-07-15,0.06,49,0,0,Week 1
Siam Square บรรยากาศดี สงบ ใจกลางสยาม,Passawan,Parthum Wan,13.74731,100.52756,Private room,1801,2,0,,0.0,1,176,0,Week 1
Private Loft Close to BTS Ari/CBD/Downtown,Lily,Phaya Thai,13.78196,100.54139,Entire home/apt,1132,1,24,2022-12-14,0.69,2,271,16,Week 1
VIA ARI - Private Entire Floor Home At BTS Ari,Lily,Phaya Thai,13.78368,100.54161,Entire home/apt,1323,1,16,2022-11-01,0.46,2,271,3,Week 1
"Private/Walk MRT Ratchada 5 Mins,JJ market,Mochit",1989 Ratchada,Din Daeng,13.79762,100.56996,Private room,650,1,0,,0.0,8,180,0,Week 1
"Shared room, cheap, good value, Walk MRT 5Mins",1989 Ratchada,Din Daeng,13.79638,100.57175,Shared room,350,1,0,,0.0,8,180,0,Week 1
โพลิส คอนโด ความสุขสบายใกล้ใจกลางเมือง,Nok,Thung khru,13.64811,100.51701,Private room,443,1,0,,0.0,1,17,0,Week 1
HAPPY STATION -DELUXE DOUBLEBED WITH BATHROOM,Kraisi,Bang Rak,13.73752,100.51664,Private room,2057,1,1,2020-02-08,0.03,3,349,0,Week 1
